/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 3
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.42
  Ep   20 | SR=0% | Steps=15.0 | R=-43.55
  Ep   30 | SR=0% | Steps=15.0 | R=-46.39
  Ep   40 | SR=0% | Steps=15.0 | R=-45.17
  Ep   50 | SR=0% | Steps=15.0 | R=-43.95
  Ep   60 | SR=0% | Steps=15.0 | R=-44.61
  Ep   70 | SR=0% | Steps=15.0 | R=-43.55
  Ep   80 | SR=0% | Steps=15.0 | R=-45.66
  Ep   90 | SR=0% | Steps=15.0 | R=-45.24
  Ep  100 | SR=0% | Steps=15.0 | R=-45.88
  Ep  110 | SR=0% | Steps=15.0 | R=-44.05
  Ep  120 | SR=0% | Steps=15.0 | R=-44.33
  Ep  130 | SR=0% | Steps=15.0 | R=-43.33
  Ep  140 | SR=0% | Steps=15.0 | R=-45.08
  Ep  150 | SR=0% | Steps=15.0 | R=-42.07
  Ep  160 | SR=0% | Steps=15.0 | R=-45.71
  Ep  170 | SR=0% | Steps=15.0 | R=-44.68
  Ep  180 | SR=0% | Steps=15.0 | R=-45.20
  Ep  190 | SR=0% | Steps=15.0 | R=-44.00
  Ep  200 | SR=0% | Steps=15.0 | R=-45.51
  Ep  210 | SR=0% | Steps=15.0 | R=-43.94
  Ep  220 | SR=0% | Steps=15.0 | R=-43.53
  Ep  230 | SR=0% | Steps=15.0 | R=-45.45
  Ep  240 | SR=0% | Steps=15.0 | R=-44.54
  Ep  250 | SR=0% | Steps=15.0 | R=-46.04
  Ep  260 | SR=0% | Steps=15.0 | R=-44.71
  Ep  270 | SR=0% | Steps=15.0 | R=-44.74
  Ep  280 | SR=0% | Steps=15.0 | R=-42.15
  Ep  290 | SR=0% | Steps=15.0 | R=-44.46
  Ep  300 | SR=0% | Steps=15.0 | R=-41.74
  Ep  310 | SR=0% | Steps=15.0 | R=-44.11
  Ep  320 | SR=0% | Steps=15.0 | R=-44.38
  Ep  330 | SR=0% | Steps=15.0 | R=-44.92
  Ep  340 | SR=0% | Steps=15.0 | R=-42.15
  Ep  350 | SR=0% | Steps=15.0 | R=-41.53
  Ep  360 | SR=0% | Steps=15.0 | R=-40.69
  Ep  370 | SR=0% | Steps=15.0 | R=-42.47
  Ep  380 | SR=0% | Steps=15.0 | R=-40.47
  Ep  390 | SR=0% | Steps=15.0 | R=-41.59
  Ep  400 | SR=0% | Steps=15.0 | R=-43.50
  Ep  410 | SR=0% | Steps=15.0 | R=-40.97
  Ep  420 | SR=0% | Steps=15.0 | R=-37.09
  Ep  430 | SR=0% | Steps=15.0 | R=-40.65
  Ep  440 | SR=0% | Steps=15.0 | R=-35.94
  Ep  450 | SR=0% | Steps=15.0 | R=-38.94
  Ep  460 | SR=0% | Steps=15.0 | R=-40.29
  Ep  470 | SR=0% | Steps=15.0 | R=-38.49
  Ep  480 | SR=0% | Steps=15.0 | R=-36.11
  Ep  490 | SR=0% | Steps=15.0 | R=-35.54
  Ep  500 | SR=0% | Steps=15.0 | R=-38.78
  Ep  510 | SR=0% | Steps=15.0 | R=-38.96
  Ep  520 | SR=0% | Steps=15.0 | R=-35.10
  Ep  530 | SR=0% | Steps=15.0 | R=-36.27
  Ep  540 | SR=0% | Steps=15.0 | R=-31.04
  Ep  550 | SR=0% | Steps=15.0 | R=-34.19
  Ep  560 | SR=0% | Steps=15.0 | R=-37.04
  Ep  570 | SR=0% | Steps=15.0 | R=-34.04
  Ep  580 | SR=0% | Steps=15.0 | R=-35.55
  Ep  590 | SR=0% | Steps=15.0 | R=-40.07
  Ep  600 | SR=0% | Steps=15.0 | R=-32.56
  Ep  610 | SR=0% | Steps=15.0 | R=-35.98
  Ep  620 | SR=0% | Steps=15.0 | R=-31.10
  Ep  630 | SR=0% | Steps=15.0 | R=-35.66
  Ep  640 | SR=0% | Steps=15.0 | R=-31.17
  Ep  650 | SR=0% | Steps=15.0 | R=-31.26
  Ep  660 | SR=0% | Steps=15.0 | R=-28.17
  Ep  670 | SR=0% | Steps=15.0 | R=-32.82
  Ep  680 | SR=0% | Steps=15.0 | R=-27.37
  Ep  690 | SR=0% | Steps=15.0 | R=-30.05
  Ep  700 | SR=0% | Steps=15.0 | R=-28.71
  Ep  710 | SR=0% | Steps=15.0 | R=-33.65
  Ep  720 | SR=0% | Steps=15.0 | R=-31.56
  Ep  730 | SR=0% | Steps=15.0 | R=-27.15
  Ep  740 | SR=0% | Steps=15.0 | R=-29.41
  Ep  750 | SR=0% | Steps=15.0 | R=-33.56
  Ep  760 | SR=0% | Steps=15.0 | R=-31.16
  Ep  770 | SR=0% | Steps=15.0 | R=-30.45
  Ep  780 | SR=0% | Steps=15.0 | R=-26.10
  Ep  790 | SR=0% | Steps=15.0 | R=-33.07
  Ep  800 | SR=0% | Steps=15.0 | R=-26.87
  Ep  810 | SR=0% | Steps=15.0 | R=-27.83
  Ep  820 | SR=0% | Steps=15.0 | R=-26.51
  Ep  830 | SR=0% | Steps=15.0 | R=-31.03
  Ep  840 | SR=0% | Steps=15.0 | R=-33.42
  Ep  850 | SR=0% | Steps=15.0 | R=-31.04
  Ep  860 | SR=0% | Steps=15.0 | R=-27.13
  Ep  870 | SR=0% | Steps=15.0 | R=-24.70
  Ep  880 | SR=0% | Steps=15.0 | R=-27.45
  Ep  890 | SR=0% | Steps=15.0 | R=-27.31
  Ep  900 | SR=0% | Steps=15.0 | R=-30.07
  Ep  910 | SR=0% | Steps=15.0 | R=-26.01
  Ep  920 | SR=0% | Steps=15.0 | R=-27.35
  Ep  930 | SR=0% | Steps=15.0 | R=-31.06
  Ep  940 | SR=0% | Steps=15.0 | R=-27.21
  Ep  950 | SR=0% | Steps=15.0 | R=-25.48
  Ep  960 | SR=0% | Steps=15.0 | R=-27.99
  Ep  970 | SR=0% | Steps=15.0 | R=-17.42
  Ep  980 | SR=0% | Steps=15.0 | R=-10.32
  Ep  990 | SR=0% | Steps=15.0 | R=-16.96
  Ep 1000 | SR=0% | Steps=15.0 | R=-15.41
  Ep 1010 | SR=0% | Steps=15.0 | R=-17.68
  Ep 1020 | SR=0% | Steps=15.0 | R=-18.19
  Ep 1030 | SR=0% | Steps=15.0 | R=-20.49
  Ep 1040 | SR=0% | Steps=15.0 | R=-10.61
  Ep 1050 | SR=0% | Steps=15.0 | R=-14.34
  Ep 1060 | SR=0% | Steps=15.0 | R=-19.13
  Ep 1070 | SR=0% | Steps=15.0 | R=-26.40
  Ep 1080 | SR=0% | Steps=15.0 | R=-9.97
  Ep 1090 | SR=0% | Steps=15.0 | R=-11.22
  Ep 1100 | SR=0% | Steps=15.0 | R=-5.59
  Ep 1110 | SR=0% | Steps=15.0 | R=-21.94
  Ep 1120 | SR=0% | Steps=15.0 | R=-17.29
  Ep 1130 | SR=0% | Steps=15.0 | R=-9.51
  Ep 1140 | SR=0% | Steps=15.0 | R=-10.12
