/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-44.92
  Ep   20 | SR=0% | Steps=15.0 | R=-45.72
  Ep   30 | SR=0% | Steps=15.0 | R=-44.61
  Ep   40 | SR=0% | Steps=15.0 | R=-43.28
  Ep   50 | SR=0% | Steps=15.0 | R=-45.96
  Ep   60 | SR=0% | Steps=15.0 | R=-44.10
  Ep   70 | SR=0% | Steps=15.0 | R=-44.05
  Ep   80 | SR=0% | Steps=15.0 | R=-44.97
  Ep   90 | SR=0% | Steps=15.0 | R=-45.52
  Ep  100 | SR=0% | Steps=15.0 | R=-44.77
  Ep  110 | SR=0% | Steps=15.0 | R=-42.30
  Ep  120 | SR=0% | Steps=15.0 | R=-44.85
  Ep  130 | SR=0% | Steps=15.0 | R=-43.92
  Ep  140 | SR=0% | Steps=15.0 | R=-45.56
  Ep  150 | SR=0% | Steps=15.0 | R=-45.30
  Ep  160 | SR=0% | Steps=15.0 | R=-46.02
  Ep  170 | SR=0% | Steps=15.0 | R=-43.23
  Ep  180 | SR=0% | Steps=15.0 | R=-44.98
  Ep  190 | SR=0% | Steps=15.0 | R=-45.23
  Ep  200 | SR=0% | Steps=15.0 | R=-44.36
  Ep  210 | SR=0% | Steps=15.0 | R=-46.79
  Ep  220 | SR=0% | Steps=15.0 | R=-43.98
  Ep  230 | SR=0% | Steps=15.0 | R=-45.42
  Ep  240 | SR=0% | Steps=15.0 | R=-45.44
  Ep  250 | SR=0% | Steps=15.0 | R=-45.58
  Ep  260 | SR=0% | Steps=15.0 | R=-46.30
  Ep  270 | SR=0% | Steps=15.0 | R=-45.74
  Ep  280 | SR=0% | Steps=15.0 | R=-44.02
  Ep  290 | SR=0% | Steps=15.0 | R=-43.04
  Ep  300 | SR=0% | Steps=15.0 | R=-45.21
  Ep  310 | SR=0% | Steps=15.0 | R=-42.71
  Ep  320 | SR=0% | Steps=15.0 | R=-42.97
  Ep  330 | SR=0% | Steps=15.0 | R=-44.62
  Ep  340 | SR=0% | Steps=15.0 | R=-45.31
  Ep  350 | SR=0% | Steps=15.0 | R=-44.64
  Ep  360 | SR=0% | Steps=15.0 | R=-37.49
  Ep  370 | SR=0% | Steps=15.0 | R=-42.21
  Ep  380 | SR=0% | Steps=15.0 | R=-43.61
  Ep  390 | SR=0% | Steps=15.0 | R=-40.94
  Ep  400 | SR=0% | Steps=15.0 | R=-40.90
  Ep  410 | SR=0% | Steps=15.0 | R=-43.60
  Ep  420 | SR=0% | Steps=15.0 | R=-44.16
  Ep  430 | SR=0% | Steps=15.0 | R=-41.51
  Ep  440 | SR=0% | Steps=15.0 | R=-41.42
  Ep  450 | SR=0% | Steps=15.0 | R=-40.79
  Ep  460 | SR=0% | Steps=15.0 | R=-43.36
  Ep  470 | SR=0% | Steps=15.0 | R=-39.88
  Ep  480 | SR=0% | Steps=15.0 | R=-40.40
  Ep  490 | SR=0% | Steps=15.0 | R=-40.20
  Ep  500 | SR=0% | Steps=15.0 | R=-42.19
  Ep  510 | SR=0% | Steps=15.0 | R=-41.63
  Ep  520 | SR=0% | Steps=15.0 | R=-41.05
  Ep  530 | SR=0% | Steps=15.0 | R=-40.82
  Ep  540 | SR=0% | Steps=15.0 | R=-41.23
  Ep  550 | SR=0% | Steps=15.0 | R=-39.95
  Ep  560 | SR=0% | Steps=15.0 | R=-37.43
  Ep  570 | SR=0% | Steps=15.0 | R=-38.11
  Ep  580 | SR=0% | Steps=15.0 | R=-40.09
  Ep  590 | SR=0% | Steps=15.0 | R=-43.52
