/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 3
============================================================
  Ep   10 | SR=0% | Steps=15.0 | R=-45.03
  Ep   20 | SR=0% | Steps=15.0 | R=-43.51
  Ep   30 | SR=0% | Steps=15.0 | R=-45.06
  Ep   40 | SR=0% | Steps=15.0 | R=-45.51
  Ep   50 | SR=0% | Steps=15.0 | R=-45.22
  Ep   60 | SR=0% | Steps=15.0 | R=-44.40
  Ep   70 | SR=0% | Steps=15.0 | R=-44.91
  Ep   80 | SR=0% | Steps=15.0 | R=-45.76
  Ep   90 | SR=0% | Steps=15.0 | R=-45.58
  Ep  100 | SR=0% | Steps=15.0 | R=-44.51
  Ep  110 | SR=0% | Steps=15.0 | R=-42.67
  Ep  120 | SR=0% | Steps=15.0 | R=-44.31
  Ep  130 | SR=0% | Steps=15.0 | R=-44.14
  Ep  140 | SR=0% | Steps=15.0 | R=-44.75
  Ep  150 | SR=0% | Steps=15.0 | R=-43.04
  Ep  160 | SR=0% | Steps=15.0 | R=-44.66
  Ep  170 | SR=0% | Steps=15.0 | R=-46.21
  Ep  180 | SR=0% | Steps=15.0 | R=-45.20
  Ep  190 | SR=0% | Steps=15.0 | R=-43.16
  Ep  200 | SR=0% | Steps=15.0 | R=-46.02
  Ep  210 | SR=0% | Steps=15.0 | R=-43.34
  Ep  220 | SR=0% | Steps=15.0 | R=-44.55
  Ep  230 | SR=0% | Steps=15.0 | R=-47.16
  Ep  240 | SR=0% | Steps=15.0 | R=-44.48
  Ep  250 | SR=0% | Steps=15.0 | R=-40.33
  Ep  260 | SR=0% | Steps=15.0 | R=-43.65
  Ep  270 | SR=0% | Steps=15.0 | R=-43.23
  Ep  280 | SR=0% | Steps=15.0 | R=-44.86
  Ep  290 | SR=0% | Steps=15.0 | R=-45.15
  Ep  300 | SR=0% | Steps=15.0 | R=-42.83
  Ep  310 | SR=0% | Steps=15.0 | R=-42.43
  Ep  320 | SR=0% | Steps=15.0 | R=-44.46
  Ep  330 | SR=0% | Steps=15.0 | R=-43.50
  Ep  340 | SR=0% | Steps=15.0 | R=-44.44
  Ep  350 | SR=0% | Steps=15.0 | R=-42.56
  Ep  360 | SR=0% | Steps=15.0 | R=-43.13
  Ep  370 | SR=0% | Steps=15.0 | R=-41.83
  Ep  380 | SR=0% | Steps=15.0 | R=-39.29
  Ep  390 | SR=0% | Steps=15.0 | R=-39.11
  Ep  400 | SR=0% | Steps=15.0 | R=-44.06
  Ep  410 | SR=0% | Steps=15.0 | R=-41.87
  Ep  420 | SR=0% | Steps=15.0 | R=-43.90
  Ep  430 | SR=0% | Steps=15.0 | R=-40.28
  Ep  440 | SR=0% | Steps=15.0 | R=-39.98
  Ep  450 | SR=0% | Steps=15.0 | R=-42.54
  Ep  460 | SR=0% | Steps=15.0 | R=-41.32
  Ep  470 | SR=0% | Steps=15.0 | R=-44.51
  Ep  480 | SR=0% | Steps=15.0 | R=-42.12
  Ep  490 | SR=0% | Steps=15.0 | R=-41.17
  Ep  500 | SR=0% | Steps=15.0 | R=-36.76
  Ep  510 | SR=0% | Steps=15.0 | R=-39.12
  Ep  520 | SR=0% | Steps=15.0 | R=-41.29
  Ep  530 | SR=0% | Steps=15.0 | R=-37.71
  Ep  540 | SR=0% | Steps=15.0 | R=-37.23
  Ep  550 | SR=0% | Steps=15.0 | R=-40.86
  Ep  560 | SR=0% | Steps=15.0 | R=-38.52
  Ep  570 | SR=0% | Steps=15.0 | R=-35.06
  Ep  580 | SR=0% | Steps=15.0 | R=-37.83
  Ep  590 | SR=0% | Steps=15.0 | R=-34.80
  Ep  600 | SR=0% | Steps=15.0 | R=-39.68
  Ep  610 | SR=0% | Steps=15.0 | R=-36.08
  Ep  620 | SR=0% | Steps=15.0 | R=-37.13
  Ep  630 | SR=0% | Steps=15.0 | R=-40.37
